timestamp,iteration,client_id,operation,target,phase,written_version,observed_version,max_seen_before,read_concern,write_concern,causal_session,scenario,scenario_event,target_node,event_time,latency_ms,success,violation,error
1789631791.2844512,26,client_mr,READ_SECONDARY,localhost:27019,normal,26,25,26,local,1,False,partition,,,,0.5,True,True,
1789631791.28507,27,client_mr,READ_PRIMARY,primary,normal,27,27,26,local,1,False,partition,,,,0.22,True,False,
1789631791.2855086,27,client_mr,READ_SECONDARY,localhost:27018,normal,27,26,27,local,1,False,partition,,,,0.44,True,True,
1789631791.2861178,28,client_mr,READ_PRIMARY,primary,normal,28,28,27,local,1,False,partition,,,,0.21,True,False,
1789631791.2865336,28,client_mr,READ_SECONDARY,localhost:27019,normal,28,28,28,local,1,False,partition,,,,0.41,True,False,
1789631791.2870495,29,client_mr,READ_PRIMARY,primary,normal,29,29,28,local,1,False,partition,,,,0.21,True,False,
1789631791.2874048,29,client_mr,READ_SECONDARY,localhost:27018,normal,29,28,29,local,1,False,partition,,,,0.35,True,True,
1789631791.2880297,30,client_mr,READ_PRIMARY,primary,normal,30,30,29,local,1,False,partition,,,,0.23,True,False,
1789631791.2883813,30,client_mr,READ_SECONDARY,localhost:27019,normal,30,30,30,local,1,False,partition,,,,0.35,True,False,
1789631791.2889278,31,client_mr,READ_PRIMARY,primary,normal,31,31,30,local,1,False,partition,,,,0.23,True,False,
1789631791.2894018,31,client_mr,READ_SECONDARY,localhost:27018,normal,31,31,31,local,1,False,partition,,,,0.47,True,False,
1789631791.289969,32,client_mr,READ_PRIMARY,primary,normal,32,32,31,local,1,False,partition,,,,0.25,True,False,
1789631791.2904024,32,client_mr,READ_SECONDARY,localhost:27019,normal,32,31,32,local,1,False,partition,,,,0.43,True,True,
1789631791.2908554,33,client_mr,READ_PRIMARY,primary,normal,33,33,32,local,1,False,partition,,,,0.18,True,False,
1789631791.2911332,33,client_mr,READ_SECONDARY,localhost:27018,normal,33,32,33,local,1,False,partition,,,,0.28,True,True,
1789631791.2915862,34,client_mr,READ_PRIMARY,primary,normal,34,34,33,local,1,False,partition,,,,0.18,True,False,
1789631791.2919195,34,client_mr,READ_SECONDARY,localhost:27019,normal,34,33,34,local,1,False,partition,,,,0.33,True,True,
1789631791.2924132,35,client_mr,READ_PRIMARY,primary,normal,35,35,34,local,1,False,partition,,,,0.2,True,False,
1789631791.2927787,35,client_mr,READ_SECONDARY,localhost:27018,normal,35,34,35,local,1,False,partition,,,,0.36,True,True,
1789631791.2933037,36,client_mr,READ_PRIMARY,primary,normal,36,36,35,local,1,False,partition,,,,0.2,True,False,
1789631791.293678,36,client_mr,READ_SECONDARY,localhost:27019,normal,36,35,36,local,1,False,partition,,,,0.37,True,True,
1789631791.294303,37,client_mr,READ_PRIMARY,primary,normal,37,37,36,local,1,False,partition,,,,0.24,True,False,
1789631791.2946541,37,client_mr,READ_SECONDARY,localhost:27018,normal,37,37,37,local,1,False,partition,,,,0.35,True,False,
1789631791.2951658,38,client_mr,READ_PRIMARY,primary,normal,38,38,37,local,1,False,partition,,,,0.2,True,False,
1789631791.295535,38,client_mr,READ_SECONDARY,localhost:27019,normal,38,37,38,local,1,False,partition,,,,0.37,True,True,
1789631791.295995,39,client_mr,READ_PRIMARY,primary,normal,39,39,38,local,1,False,partition,,,,0.17,True,False,
1789631791.2962792,39,client_mr,READ_SECONDARY,localhost:27018,normal,39,39,39,local,1,False,partition,,,,0.28,True,False,
1789631791.296714,40,client_mr,READ_PRIMARY,primary,normal,40,40,39,local,1,False,partition,,,,0.17,True,False,
1789631791.2969782,40,client_mr,READ_SECONDARY,localhost:27019,normal,40,39,40,local,1,False,partition,,,,0.26,True,True,
1789631791.297468,41,client_mr,READ_PRIMARY,primary,normal,41,41,40,local,1,False,partition,,,,0.18,True,False,
1789631791.2977033,41,client_mr,READ_SECONDARY,localhost:27018,normal,41,41,41,local,1,False,partition,,,,0.23,True,False,
1789631791.298183,42,client_mr,READ_PRIMARY,primary,normal,42,42,41,local,1,False,partition,,,,0.16,True,False,
1789631791.2985864,42,client_mr,READ_SECONDARY,localhost:27019,normal,42,42,42,local,1,False,partition,,,,0.4,True,False,
1789631791.2989993,43,client_mr,READ_PRIMARY,primary,normal,43,43,42,local,1,False,partition,,,,0.16,True,False,
1789631791.2993214,43,client_mr,READ_SECONDARY,localhost:27018,normal,43,42,43,local,1,False,partition,,,,0.32,True,True,
1789631791.299827,44,client_mr,READ_PRIMARY,primary,normal,44,44,43,local,1,False,partition,,,,0.16,True,False,
1789631791.3002114,44,client_mr,READ_SECONDARY,localhost:27019,normal,44,43,44,local,1,False,partition,,,,0.38,True,True,
1789631791.3006613,45,client_mr,READ_PRIMARY,primary,normal,45,45,44,local,1,False,partition,,,,0.17,True,False,
1789631791.3010666,45,client_mr,READ_SECONDARY,localhost:27018,normal,45,45,45,local,1,False,partition,,,,0.4,True,False,
1789631791.3015454,46,client_mr,READ_PRIMARY,primary,normal,46,46,45,local,1,False,partition,,,,0.17,True,False,
1789631791.3019378,46,client_mr,READ_SECONDARY,localhost:27019,normal,46,45,46,local,1,False,partition,,,,0.39,True,True,
1789631791.3023574,47,client_mr,READ_PRIMARY,primary,normal,47,47,46,local,1,False,partition,,,,0.16,True,False,
1789631791.3025706,47,client_mr,READ_SECONDARY,localhost:27018,normal,47,47,47,local,1,False,partition,,,,0.21,True,False,
1789631791.3030016,48,client_mr,READ_PRIMARY,primary,normal,48,48,47,local,1,False,partition,,,,0.16,True,False,
1789631791.3033967,48,client_mr,READ_SECONDARY,localhost:27019,normal,48,47,48,local,1,False,partition,,,,0.39,True,True,
1789631791.3037994,49,client_mr,READ_PRIMARY,primary,normal,49,49,48,local,1,False,partition,,,,0.15,True,False,
1789631791.3040428,49,client_mr,READ_SECONDARY,localhost:27018,normal,49,49,49,local,1,False,partition,,,,0.24,True,False,
1789631791.3044362,50,client_mr,READ_PRIMARY,primary,normal,50,50,49,local,1,False,partition,,,,0.15,True,False,
1789631791.304752,50,client_mr,READ_SECONDARY,localhost:27019,normal,50,49,50,local,1,False,partition,,,,0.31,True,True,
1789631791.3051455,51,client_mr,READ_PRIMARY,primary,normal,51,51,50,local,1,False,partition,,,,0.19,True,False,
1789631791.3054926,51,client_mr,READ_SECONDARY,localhost:27018,normal,51,51,51,local,1,False,partition,,,,0.35,True,False,
1789631791.3060853,52,client_mr,READ_PRIMARY,primary,normal,52,52,51,local,1,False,partition,,,,0.34,True,False,
1789631791.3064249,52,client_mr,READ_SECONDARY,localhost:27019,normal,52,51,52,local,1,False,partition,,,,0.34,True,True,
1789631791.3067608,53,client_mr,READ_PRIMARY,primary,normal,53,53,52,local,1,False,partition,,,,0.14,True,False,
1789631791.3070154,53,client_mr,READ_SECONDARY,localhost:27018,normal,53,52,53,local,1,False,partition,,,,0.25,True,True,
1789631791.3074453,54,client_mr,READ_PRIMARY,primary,normal,54,54,53,local,1,False,partition,,,,0.17,True,False,
1789631791.30782,54,client_mr,READ_SECONDARY,localhost:27019,normal,54,53,54,local,1,False,partition,,,,0.37,True,True,
1789631791.3083057,55,client_mr,READ_PRIMARY,primary,normal,55,55,54,local,1,False,partition,,,,0.2,True,False,
1789631791.3085172,55,client_mr,READ_SECONDARY,localhost:27018,normal,55,55,55,local,1,False,partition,,,,0.21,True,False,
1789631791.3089547,56,client_mr,READ_PRIMARY,primary,normal,56,56,55,local,1,False,partition,,,,0.19,True,False,
1789631791.3092937,56,client_mr,READ_SECONDARY,localhost:27019,normal,56,56,56,local,1,False,partition,,,,0.34,True,False,
1789631791.3096921,57,client_mr,READ_PRIMARY,primary,normal,57,57,56,local,1,False,partition,,,,0.17,True,False,
1789631791.3100488,57,client_mr,READ_SECONDARY,localhost:27018,normal,57,57,57,local,1,False,partition,,,,0.36,True,False,
1789631791.3103938,58,client_mr,READ_PRIMARY,primary,normal,58,58,57,local,1,False,partition,,,,0.13,True,False,
1789631791.31072,58,client_mr,READ_SECONDARY,localhost:27019,normal,58,57,58,local,1,False,partition,,,,0.32,True,True,
1789631791.3111198,59,client_mr,READ_PRIMARY,primary,normal,59,59,58,local,1,False,partition,,,,0.17,True,False,
1789631791.3113902,59,client_mr,READ_SECONDARY,localhost:27018,normal,59,58,59,local,1,False,partition,,,,0.27,True,True,
1789631791.3117611,60,client_mr,READ_PRIMARY,primary,normal,60,60,59,local,1,False,partition,,,,0.14,True,False,
1789631791.3120327,60,client_mr,READ_SECONDARY,localhost:27019,normal,60,60,60,local,1,False,partition,,,,0.27,True,False,
1789631791.3124073,61,client_mr,READ_PRIMARY,primary,normal,61,61,60,local,1,False,partition,,,,0.15,True,False,
1789631791.3126245,61,client_mr,READ_SECONDARY,localhost:27018,normal,61,61,61,local,1,False,partition,,,,0.22,True,False,
1789631791.312973,62,client_mr,READ_PRIMARY,primary,normal,62,62,61,local,1,False,partition,,,,0.14,True,False,
1789631791.313301,62,client_mr,READ_SECONDARY,localhost:27019,normal,62,61,62,local,1,False,partition,,,,0.33,True,True,
1789631791.3136575,63,client_mr,READ_PRIMARY,primary,normal,63,63,62,local,1,False,partition,,,,0.15,True,False,
1789631791.3139482,63,client_mr,READ_SECONDARY,localhost:27018,normal,63,62,63,local,1,False,partition,,,,0.29,True,True,
1789631791.3143027,64,client_mr,READ_PRIMARY,primary,normal,64,64,63,local,1,False,partition,,,,0.14,True,False,
1789631791.314617,64,client_mr,READ_SECONDARY,localhost:27019,normal,64,64,64,local,1,False,partition,,,,0.31,True,False,
1789631791.3149593,65,client_mr,READ_PRIMARY,primary,normal,65,65,64,local,1,False,partition,,,,0.14,True,False,
1789631791.3152199,65,client_mr,READ_SECONDARY,localhost:27018,normal,65,64,65,local,1,False,partition,,,,0.26,True,True,
