iteration,timestamp,client_id,operation,target,phase,failed_node,written_version,observed_version,max_seen_before,read_concern,write_concern,causal_session,scenario,latency_ms,success,violation,error
26,1789628127.0868452,client_mr,READ_SECONDARY,session_secondary,normal,,26,26,26,majority,majority,True,failure,0.22,True,False,
27,1789628127.0878935,client_mr,READ_PRIMARY,primary,normal,,27,27,26,majority,majority,True,failure,0.22,True,False,
27,1789628127.0881534,client_mr,READ_SECONDARY,session_secondary,normal,,27,27,27,majority,majority,True,failure,0.26,True,False,
28,1789628127.089175,client_mr,READ_PRIMARY,primary,normal,,28,28,27,majority,majority,True,failure,0.2,True,False,
28,1789628127.0894396,client_mr,READ_SECONDARY,session_secondary,normal,,28,28,28,majority,majority,True,failure,0.26,True,False,
29,1789628127.0904794,client_mr,READ_PRIMARY,primary,normal,,29,29,28,majority,majority,True,failure,0.25,True,False,
29,1789628127.0907404,client_mr,READ_SECONDARY,session_secondary,normal,,29,29,29,majority,majority,True,failure,0.26,True,False,
30,1789628127.0917583,client_mr,READ_PRIMARY,primary,normal,,30,30,29,majority,majority,True,failure,0.19,True,False,
30,1789628127.0920286,client_mr,READ_SECONDARY,session_secondary,normal,,30,30,30,majority,majority,True,failure,0.27,True,False,
31,1789628127.093062,client_mr,READ_PRIMARY,primary,normal,,31,31,30,majority,majority,True,failure,0.2,True,False,
31,1789628127.0932925,client_mr,READ_SECONDARY,session_secondary,normal,,31,31,31,majority,majority,True,failure,0.23,True,False,
32,1789628127.0944657,client_mr,READ_PRIMARY,primary,normal,,32,32,31,majority,majority,True,failure,0.3,True,False,
32,1789628127.0946734,client_mr,READ_SECONDARY,session_secondary,normal,,32,32,32,majority,majority,True,failure,0.21,True,False,
33,1789628127.0955253,client_mr,READ_PRIMARY,primary,normal,,33,33,32,majority,majority,True,failure,0.17,True,False,
33,1789628127.095771,client_mr,READ_SECONDARY,session_secondary,normal,,33,33,33,majority,majority,True,failure,0.24,True,False,
34,1789628127.0969017,client_mr,READ_PRIMARY,primary,normal,,34,34,33,majority,majority,True,failure,0.17,True,False,
34,1789628127.0971763,client_mr,READ_SECONDARY,session_secondary,normal,,34,34,34,majority,majority,True,failure,0.27,True,False,
35,1789628127.0983846,client_mr,READ_PRIMARY,primary,normal,,35,35,34,majority,majority,True,failure,0.22,True,False,
35,1789628127.0986164,client_mr,READ_SECONDARY,session_secondary,normal,,35,35,35,majority,majority,True,failure,0.23,True,False,
36,1789628127.0994577,client_mr,READ_PRIMARY,primary,normal,,36,36,35,majority,majority,True,failure,0.18,True,False,
36,1789628127.099718,client_mr,READ_SECONDARY,session_secondary,normal,,36,36,36,majority,majority,True,failure,0.26,True,False,
37,1789628127.1006305,client_mr,READ_PRIMARY,primary,normal,,37,37,36,majority,majority,True,failure,0.18,True,False,
37,1789628127.1008866,client_mr,READ_SECONDARY,session_secondary,normal,,37,37,37,majority,majority,True,failure,0.25,True,False,
38,1789628127.1018581,client_mr,READ_PRIMARY,primary,normal,,38,38,37,majority,majority,True,failure,0.16,True,False,
38,1789628127.1020982,client_mr,READ_SECONDARY,session_secondary,normal,,38,38,38,majority,majority,True,failure,0.24,True,False,
39,1789628127.10293,client_mr,READ_PRIMARY,primary,normal,,39,39,38,majority,majority,True,failure,0.18,True,False,
39,1789628127.1031725,client_mr,READ_SECONDARY,session_secondary,normal,,39,39,39,majority,majority,True,failure,0.24,True,False,
40,1789628127.1039596,client_mr,READ_PRIMARY,primary,normal,,40,40,39,majority,majority,True,failure,0.16,True,False,
40,1789628127.1041682,client_mr,READ_SECONDARY,session_secondary,normal,,40,40,40,majority,majority,True,failure,0.21,True,False,
41,1789628127.104961,client_mr,READ_PRIMARY,primary,normal,,41,41,40,majority,majority,True,failure,0.16,True,False,
41,1789628127.1052082,client_mr,READ_SECONDARY,session_secondary,normal,,41,41,41,majority,majority,True,failure,0.25,True,False,
42,1789628127.1064045,client_mr,READ_PRIMARY,primary,normal,,42,42,41,majority,majority,True,failure,0.24,True,False,
42,1789628127.1066015,client_mr,READ_SECONDARY,session_secondary,normal,,42,42,42,majority,majority,True,failure,0.19,True,False,
43,1789628127.1074424,client_mr,READ_PRIMARY,primary,normal,,43,43,42,majority,majority,True,failure,0.17,True,False,
43,1789628127.1076732,client_mr,READ_SECONDARY,session_secondary,normal,,43,43,43,majority,majority,True,failure,0.23,True,False,
44,1789628127.1085384,client_mr,READ_PRIMARY,primary,normal,,44,44,43,majority,majority,True,failure,0.18,True,False,
44,1789628127.1087704,client_mr,READ_SECONDARY,session_secondary,normal,,44,44,44,majority,majority,True,failure,0.23,True,False,
45,1789628127.1097512,client_mr,READ_PRIMARY,primary,normal,,45,45,44,majority,majority,True,failure,0.16,True,False,
45,1789628127.1100042,client_mr,READ_SECONDARY,session_secondary,normal,,45,45,45,majority,majority,True,failure,0.25,True,False,
46,1789628127.1110384,client_mr,READ_PRIMARY,primary,normal,,46,46,45,majority,majority,True,failure,0.2,True,False,
46,1789628127.1112647,client_mr,READ_SECONDARY,session_secondary,normal,,46,46,46,majority,majority,True,failure,0.22,True,False,
