model,scenario,profile,phase,repeats,attempts_total,eligible_total,violations_total,errors_total,not_observed_total,successful_mr_reads_total,mr_read_regressions_total,violation_rate_mean,violation_rate_sd,violation_rate_n,coverage_mean,coverage_sd,coverage_n,eligible_workload_p50_ms_mean,eligible_workload_p50_ms_sd,eligible_workload_p50_ms_n,eligible_workload_p95_ms_mean,eligible_workload_p95_ms_sd,eligible_workload_p95_ms_n
mr,partition,majority,overall,3,3000,2997,3,3,0,5994,3,0.001001001001001001,0.001001001001001001,3,0.999,0.0,3,15.516333333333334,2.6752901400284292,3,20.583,2.368934148514896,3
mr,partition,majority,recovery,3,1203,1203,0,0,0,2406,0,0.0,0.0,3,1.0,0.0,3,14.919,3.207339707608161,3,19.019666666666666,3.680666017629599,3
mr,partition,majority,transition,3,3,3,0,0,0,6,0,0.0,0.0,3,1.0,0.0,3,20.478666666666665,1.7596233498488631,3,20.478666666666665,1.7596233498488631,3
mr,partition,weak,fault,3,1197,1192,0,5,0,2384,0,0.0,0.0,3,0.9958228905597326,0.0014469931558636917,3,9.199333333333334,0.22965699060410324,3,11.721333333333332,0.6239786321127779,3
mr,partition,weak,normal,3,597,597,3,0,0,1194,3,0.005025125628140704,0.008703772902356167,3,1.0,0.0,3,9.493666666666666,0.47404254380101085,3,11.191,0.6783303030235338,3
mr,partition,weak,overall,3,3000,2995,3,5,0,5990,3,0.001002004008016032,0.0017355218512714202,3,0.9983333333333333,0.0005773502691896262,3,9.415333333333333,0.36344233838854517,3,11.922333333333333,0.29096448809662906,3
mr,partition,weak,recovery,3,1203,1203,0,0,0,2406,0,0.0,0.0,3,1.0,0.0,3,9.530666666666667,0.6128803580906582,3,12.078333333333333,0.5197088928749758,3
mr,partition,weak,transition,3,3,3,0,0,0,6,0,0.0,0.0,3,1.0,0.0,3,13.142666666666667,1.3581418678964783,3,13.142666666666667,1.3581418678964783,3
mw,failure,causal,fault,3,1197,1197,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,19.349333333333334,3.610665497291785,3,23.188666666666666,4.258494608818159,3
mw,failure,causal,normal,3,597,597,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,19.667666666666666,3.484663733179046,3,23.139666666666667,5.015399917587165,3
