timestamp,client_id,operation,target,written_version,observed_version,max_seen_before,read_concern,write_concern,causal_session,scenario,latency_ms,success,violation
1789719029.97843,client_mr,READ_PRIMARY,primary,28,28,27,majority,majority,True,normal_codexrun,0.48,True,False
1789719029.978823,client_mr,READ_SECONDARY,session_secondary,28,28,28,majority,majority,True,normal_codexrun,0.39,True,False
1789719029.986232,client_mr,READ_PRIMARY,primary,29,29,28,majority,majority,True,normal_codexrun,0.39,True,False
1789719029.986563,client_mr,READ_SECONDARY,session_secondary,29,29,29,majority,majority,True,normal_codexrun,0.33,True,False
1789719029.999409,client_mr,READ_PRIMARY,primary,30,30,29,majority,majority,True,normal_codexrun,0.45,True,False
1789719029.9996989,client_mr,READ_SECONDARY,session_secondary,30,30,30,majority,majority,True,normal_codexrun,0.28,True,False
1789719030.011383,client_mr,READ_PRIMARY,primary,31,31,30,majority,majority,True,normal_codexrun,0.38,True,False
1789719030.011706,client_mr,READ_SECONDARY,session_secondary,31,31,31,majority,majority,True,normal_codexrun,0.32,True,False
1789719030.027141,client_mr,READ_PRIMARY,primary,32,32,31,majority,majority,True,normal_codexrun,0.33,True,False
1789719030.0274189,client_mr,READ_SECONDARY,session_secondary,32,32,32,majority,majority,True,normal_codexrun,0.27,True,False
1789719030.038241,client_mr,READ_PRIMARY,primary,33,33,32,majority,majority,True,normal_codexrun,0.37,True,False
1789719030.038531,client_mr,READ_SECONDARY,session_secondary,33,33,33,majority,majority,True,normal_codexrun,0.28,True,False
1789719030.050106,client_mr,READ_PRIMARY,primary,34,34,33,majority,majority,True,normal_codexrun,0.25,True,False
1789719030.05038,client_mr,READ_SECONDARY,session_secondary,34,34,34,majority,majority,True,normal_codexrun,0.27,True,False
1789719030.060965,client_mr,READ_PRIMARY,primary,35,35,34,majority,majority,True,normal_codexrun,0.19,True,False
1789719030.0611641,client_mr,READ_SECONDARY,session_secondary,35,35,35,majority,majority,True,normal_codexrun,0.2,True,False
1789719030.072423,client_mr,READ_PRIMARY,primary,36,36,35,majority,majority,True,normal_codexrun,0.35,True,False
1789719030.072692,client_mr,READ_SECONDARY,session_secondary,36,36,36,majority,majority,True,normal_codexrun,0.26,True,False
1789719030.083932,client_mr,READ_PRIMARY,primary,37,37,36,majority,majority,True,normal_codexrun,0.23,True,False
1789719030.0841448,client_mr,READ_SECONDARY,session_secondary,37,37,37,majority,majority,True,normal_codexrun,0.21,True,False
1789719030.095087,client_mr,READ_PRIMARY,primary,38,38,37,majority,majority,True,normal_codexrun,0.26,True,False
1789719030.0953321,client_mr,READ_SECONDARY,session_secondary,38,38,38,majority,majority,True,normal_codexrun,0.24,True,False
1789719030.105218,client_mr,READ_PRIMARY,primary,39,39,38,majority,majority,True,normal_codexrun,0.29,True,False
1789719030.105501,client_mr,READ_SECONDARY,session_secondary,39,39,39,majority,majority,True,normal_codexrun,0.28,True,False
1789719030.117057,client_mr,READ_PRIMARY,primary,40,40,39,majority,majority,True,normal_codexrun,0.24,True,False
1789719030.117313,client_mr,READ_SECONDARY,session_secondary,40,40,40,majority,majority,True,normal_codexrun,0.25,True,False
1789719030.129023,client_mr,READ_PRIMARY,primary,41,41,40,majority,majority,True,normal_codexrun,0.26,True,False
1789719030.1292741,client_mr,READ_SECONDARY,session_secondary,41,41,41,majority,majority,True,normal_codexrun,0.25,True,False
1789719030.144045,client_mr,READ_PRIMARY,primary,42,42,41,majority,majority,True,normal_codexrun,0.3,True,False
1789719030.1443489,client_mr,READ_SECONDARY,session_secondary,42,42,42,majority,majority,True,normal_codexrun,0.3,True,False
1789719030.155,client_mr,READ_PRIMARY,primary,43,43,42,majority,majority,True,normal_codexrun,0.26,True,False
1789719030.155262,client_mr,READ_SECONDARY,session_secondary,43,43,43,majority,majority,True,normal_codexrun,0.26,True,False
1789719030.170042,client_mr,READ_PRIMARY,primary,44,44,43,majority,majority,True,normal_codexrun,0.23,True,False
1789719030.170377,client_mr,READ_SECONDARY,session_secondary,44,44,44,majority,majority,True,normal_codexrun,0.33,True,False
1789719030.181448,client_mr,READ_PRIMARY,primary,45,45,44,majority,majority,True,normal_codexrun,0.49,True,False
1789719030.1818821,client_mr,READ_SECONDARY,session_secondary,45,45,45,majority,majority,True,normal_codexrun,0.43,True,False
1789719030.193126,client_mr,READ_PRIMARY,primary,46,46,45,majority,majority,True,normal_codexrun,0.3,True,False
1789719030.193471,client_mr,READ_SECONDARY,session_secondary,46,46,46,majority,majority,True,normal_codexrun,0.34,True,False
1789719030.204244,client_mr,READ_PRIMARY,primary,47,47,46,majority,majority,True,normal_codexrun,0.3,True,False
1789719030.2045372,client_mr,READ_SECONDARY,session_secondary,47,47,47,majority,majority,True,normal_codexrun,0.29,True,False
1789719030.220093,client_mr,READ_PRIMARY,primary,48,48,47,majority,majority,True,normal_codexrun,0.35,True,False
1789719030.220407,client_mr,READ_SECONDARY,session_secondary,48,48,48,majority,majority,True,normal_codexrun,0.31,True,False
1789719030.232142,client_mr,READ_PRIMARY,primary,49,49,48,majority,majority,True,normal_codexrun,0.31,True,False
1789719030.232435,client_mr,READ_SECONDARY,session_secondary,49,49,49,majority,majority,True,normal_codexrun,0.29,True,False
1789719030.2484522,client_mr,READ_PRIMARY,primary,50,50,49,majority,majority,True,normal_codexrun,0.57,True,False
1789719030.248894,client_mr,READ_SECONDARY,session_secondary,50,50,50,majority,majority,True,normal_codexrun,0.44,True,False
1789719030.2589471,client_mr,READ_PRIMARY,primary,51,51,50,majority,majority,True,normal_codexrun,0.27,True,False
1789719030.259223,client_mr,READ_SECONDARY,session_secondary,51,51,51,majority,majority,True,normal_codexrun,0.27,True,False
1789719030.269017,client_mr,READ_PRIMARY,primary,52,52,51,majority,majority,True,normal_codexrun,0.31,True,False
1789719030.269346,client_mr,READ_SECONDARY,session_secondary,52,52,52,majority,majority,True,normal_codexrun,0.33,True,False
1789719030.279158,client_mr,READ_PRIMARY,primary,53,53,52,majority,majority,True,normal_codexrun,0.37,True,False
1789719030.2794728,client_mr,READ_SECONDARY,session_secondary,53,53,53,majority,majority,True,normal_codexrun,0.31,True,False
1789719030.2921028,client_mr,READ_PRIMARY,primary,54,54,53,majority,majority,True,normal_codexrun,0.28,True,False
1789719030.2923672,client_mr,READ_SECONDARY,session_secondary,54,54,54,majority,majority,True,normal_codexrun,0.26,True,False
1789719030.307035,client_mr,READ_PRIMARY,primary,55,55,54,majority,majority,True,normal_codexrun,0.34,True,False
1789719030.307364,client_mr,READ_SECONDARY,session_secondary,55,55,55,majority,majority,True,normal_codexrun,0.32,True,False
1789719030.318037,client_mr,READ_PRIMARY,primary,56,56,55,majority,majority,True,normal_codexrun,0.34,True,False
1789719030.318363,client_mr,READ_SECONDARY,session_secondary,56,56,56,majority,majority,True,normal_codexrun,0.32,True,False
1789719030.334112,client_mr,READ_PRIMARY,primary,57,57,56,majority,majority,True,normal_codexrun,0.34,True,False
1789719030.334455,client_mr,READ_SECONDARY,session_secondary,57,57,57,majority,majority,True,normal_codexrun,0.34,True,False
1789719030.343924,client_mr,READ_PRIMARY,primary,58,58,57,majority,majority,True,normal_codexrun,0.27,True,False
1789719030.344192,client_mr,READ_SECONDARY,session_secondary,58,58,58,majority,majority,True,normal_codexrun,0.26,True,False
1789719030.354184,client_mr,READ_PRIMARY,primary,59,59,58,majority,majority,True,normal_codexrun,0.38,True,False
1789719030.354503,client_mr,READ_SECONDARY,session_secondary,59,59,59,majority,majority,True,normal_codexrun,0.31,True,False
1789719030.371129,client_mr,READ_PRIMARY,primary,60,60,59,majority,majority,True,normal_codexrun,0.36,True,False
1789719030.371532,client_mr,READ_SECONDARY,session_secondary,60,60,60,majority,majority,True,normal_codexrun,0.4,True,False
1789719030.381979,client_mr,READ_PRIMARY,primary,61,61,60,majority,majority,True,normal_codexrun,0.37,True,False
1789719030.382331,client_mr,READ_SECONDARY,session_secondary,61,61,61,majority,majority,True,normal_codexrun,0.35,True,False
1789719030.394083,client_mr,READ_PRIMARY,primary,62,62,61,majority,majority,True,normal_codexrun,0.35,True,False
1789719030.394472,client_mr,READ_SECONDARY,session_secondary,62,62,62,majority,majority,True,normal_codexrun,0.38,True,False
1789719030.40599,client_mr,READ_PRIMARY,primary,63,63,62,majority,majority,True,normal_codexrun,0.38,True,False
1789719030.406369,client_mr,READ_SECONDARY,session_secondary,63,63,63,majority,majority,True,normal_codexrun,0.37,True,False
1789719030.419042,client_mr,READ_PRIMARY,primary,64,64,63,majority,majority,True,normal_codexrun,0.37,True,False
1789719030.419404,client_mr,READ_SECONDARY,session_secondary,64,64,64,majority,majority,True,normal_codexrun,0.36,True,False
1789719030.432023,client_mr,READ_PRIMARY,primary,65,65,64,majority,majority,True,normal_codexrun,0.34,True,False
1789719030.4323788,client_mr,READ_SECONDARY,session_secondary,65,65,65,majority,majority,True,normal_codexrun,0.35,True,False
1789719030.448616,client_mr,READ_PRIMARY,primary,66,66,65,majority,majority,True,normal_codexrun,0.6,True,False
1789719030.44903,client_mr,READ_SECONDARY,session_secondary,66,66,66,majority,majority,True,normal_codexrun,0.41,True,False
1789719030.460232,client_mr,READ_PRIMARY,primary,67,67,66,majority,majority,True,normal_codexrun,0.41,True,False
1789719030.460553,client_mr,READ_SECONDARY,session_secondary,67,67,67,majority,majority,True,normal_codexrun,0.32,True,False
1789719030.470089,client_mr,READ_PRIMARY,primary,68,68,67,majority,majority,True,normal_codexrun,0.34,True,False
1789719030.470434,client_mr,READ_SECONDARY,session_secondary,68,68,68,majority,majority,True,normal_codexrun,0.34,True,False
1789719030.484315,client_mr,READ_PRIMARY,primary,69,69,68,majority,majority,True,normal_codexrun,0.36,True,False
1789719030.484701,client_mr,READ_SECONDARY,session_secondary,69,69,69,majority,majority,True,normal_codexrun,0.38,True,False
1789719030.496219,client_mr,READ_PRIMARY,primary,70,70,69,majority,majority,True,normal_codexrun,0.37,True,False
1789719030.4965801,client_mr,READ_SECONDARY,session_secondary,70,70,70,majority,majority,True,normal_codexrun,0.36,True,False
1789719030.509069,client_mr,READ_PRIMARY,primary,71,71,70,majority,majority,True,normal_codexrun,0.32,True,False
1789719030.509384,client_mr,READ_SECONDARY,session_secondary,71,71,71,majority,majority,True,normal_codexrun,0.31,True,False
1789719030.519099,client_mr,READ_PRIMARY,primary,72,72,71,majority,majority,True,normal_codexrun,0.34,True,False
1789719030.519457,client_mr,READ_SECONDARY,session_secondary,72,72,72,majority,majority,True,normal_codexrun,0.36,True,False
1789719030.532189,client_mr,READ_PRIMARY,primary,73,73,72,majority,majority,True,normal_codexrun,0.38,True,False
1789719030.5326111,client_mr,READ_SECONDARY,session_secondary,73,73,73,majority,majority,True,normal_codexrun,0.4,True,False
1789719030.5440562,client_mr,READ_PRIMARY,primary,74,74,73,majority,majority,True,normal_codexrun,0.35,True,False
1789719030.544467,client_mr,READ_SECONDARY,session_secondary,74,74,74,majority,majority,True,normal_codexrun,0.41,True,False
1789719030.558964,client_mr,READ_PRIMARY,primary,75,75,74,majority,majority,True,normal_codexrun,0.32,True,False
1789719030.559288,client_mr,READ_SECONDARY,session_secondary,75,75,75,majority,majority,True,normal_codexrun,0.32,True,False
1789719030.569935,client_mr,READ_PRIMARY,primary,76,76,75,majority,majority,True,normal_codexrun,0.72,True,False
1789719030.570623,client_mr,READ_SECONDARY,session_secondary,76,76,76,majority,majority,True,normal_codexrun,0.68,True,False
1789719030.587897,client_mr,READ_PRIMARY,primary,77,77,76,majority,majority,True,normal_codexrun,0.34,True,False
1789719030.5882502,client_mr,READ_SECONDARY,session_secondary,77,77,77,majority,majority,True,normal_codexrun,0.35,True,False
1789719030.6010408,client_mr,READ_PRIMARY,primary,78,78,77,majority,majority,True,normal_codexrun,0.36,True,False
1789719030.601409,client_mr,READ_SECONDARY,session_secondary,78,78,78,majority,majority,True,normal_codexrun,0.36,True,False
1789719030.6181262,client_mr,READ_PRIMARY,primary,79,79,78,majority,majority,True,normal_codexrun,0.33,True,False
1789719030.618505,client_mr,READ_SECONDARY,session_secondary,79,79,79,majority,majority,True,normal_codexrun,0.38,True,False
1789719030.6282969,client_mr,READ_PRIMARY,primary,80,80,79,majority,majority,True,normal_codexrun,0.43,True,False
1789719030.628709,client_mr,READ_SECONDARY,session_secondary,80,80,80,majority,majority,True,normal_codexrun,0.41,True,False
1789719030.6362,client_mr,READ_PRIMARY,primary,81,81,80,majority,majority,True,normal_codexrun,0.38,True,False
1789719030.636551,client_mr,READ_SECONDARY,session_secondary,81,81,81,majority,majority,True,normal_codexrun,0.34,True,False
1789719030.648318,client_mr,READ_PRIMARY,primary,82,82,81,majority,majority,True,normal_codexrun,0.36,True,False
1789719030.6486862,client_mr,READ_SECONDARY,session_secondary,82,82,82,majority,majority,True,normal_codexrun,0.36,True,False
1789719030.660285,client_mr,READ_PRIMARY,primary,83,83,82,majority,majority,True,normal_codexrun,0.38,True,False
1789719030.660613,client_mr,READ_SECONDARY,session_secondary,83,83,83,majority,majority,True,normal_codexrun,0.32,True,False
1789719030.673131,client_mr,READ_PRIMARY,primary,84,84,83,majority,majority,True,normal_codexrun,0.41,True,False
1789719030.6734972,client_mr,READ_SECONDARY,session_secondary,84,84,84,majority,majority,True,normal_codexrun,0.36,True,False
1789719030.685076,client_mr,READ_PRIMARY,primary,85,85,84,majority,majority,True,normal_codexrun,0.31,True,False
1789719030.685453,client_mr,READ_SECONDARY,session_secondary,85,85,85,majority,majority,True,normal_codexrun,0.37,True,False
1789719030.696268,client_mr,READ_PRIMARY,primary,86,86,85,majority,majority,True,normal_codexrun,0.41,True,False
1789719030.69667,client_mr,READ_SECONDARY,session_secondary,86,86,86,majority,majority,True,normal_codexrun,0.4,True,False
1789719030.708249,client_mr,READ_PRIMARY,primary,87,87,86,majority,majority,True,normal_codexrun,0.44,True,False
1789719030.7086442,client_mr,READ_SECONDARY,session_secondary,87,87,87,majority,majority,True,normal_codexrun,0.39,True,False
1789719030.720087,client_mr,READ_PRIMARY,primary,88,88,87,majority,majority,True,normal_codexrun,0.35,True,False
1789719030.720489,client_mr,READ_SECONDARY,session_secondary,88,88,88,majority,majority,True,normal_codexrun,0.4,True,False
1789719030.7332008,client_mr,READ_PRIMARY,primary,89,89,88,majority,majority,True,normal_codexrun,0.32,True,False
1789719030.733554,client_mr,READ_SECONDARY,session_secondary,89,89,89,majority,majority,True,normal_codexrun,0.35,True,False
1789719030.747226,client_mr,READ_PRIMARY,primary,90,90,89,majority,majority,True,normal_codexrun,0.38,True,False
1789719030.747649,client_mr,READ_SECONDARY,session_secondary,90,90,90,majority,majority,True,normal_codexrun,0.42,True,False
1789719030.764333,client_mr,READ_PRIMARY,primary,91,91,90,majority,majority,True,normal_codexrun,0.47,True,False
1789719030.7647731,client_mr,READ_SECONDARY,session_secondary,91,91,91,majority,majority,True,normal_codexrun,0.43,True,False
1789719030.774038,client_mr,READ_PRIMARY,primary,92,92,91,majority,majority,True,normal_codexrun,0.29,True,False
1789719030.774364,client_mr,READ_SECONDARY,session_secondary,92,92,92,majority,majority,True,normal_codexrun,0.32,True,False
1789719030.785172,client_mr,READ_PRIMARY,primary,93,93,92,majority,majority,True,normal_codexrun,0.35,True,False
1789719030.785505,client_mr,READ_SECONDARY,session_secondary,93,93,93,majority,majority,True,normal_codexrun,0.33,True,False
1789719030.798103,client_mr,READ_PRIMARY,primary,94,94,93,majority,majority,True,normal_codexrun,0.74,True,False
1789719030.798656,client_mr,READ_SECONDARY,session_secondary,94,94,94,majority,majority,True,normal_codexrun,0.54,True,False
1789719030.812345,client_mr,READ_PRIMARY,primary,95,95,94,majority,majority,True,normal_codexrun,0.43,True,False
1789719030.8127859,client_mr,READ_SECONDARY,session_secondary,95,95,95,majority,majority,True,normal_codexrun,0.44,True,False
1789719030.822293,client_mr,READ_PRIMARY,primary,96,96,95,majority,majority,True,normal_codexrun,0.38,True,False
1789719030.8226418,client_mr,READ_SECONDARY,session_secondary,96,96,96,majority,majority,True,normal_codexrun,0.34,True,False
1789719030.838519,client_mr,READ_PRIMARY,primary,97,97,96,majority,majority,True,normal_codexrun,0.47,True,False
1789719030.838903,client_mr,READ_SECONDARY,session_secondary,97,97,97,majority,majority,True,normal_codexrun,0.38,True,False
1789719030.852635,client_mr,READ_PRIMARY,primary,98,98,97,majority,majority,True,normal_codexrun,0.88,True,False
1789719030.85294,client_mr,READ_SECONDARY,session_secondary,98,98,98,majority,majority,True,normal_codexrun,0.3,True,False
1789719030.864352,client_mr,READ_PRIMARY,primary,99,99,98,majority,majority,True,normal_codexrun,0.4,True,False
1789719030.864676,client_mr,READ_SECONDARY,session_secondary,99,99,99,majority,majority,True,normal_codexrun,0.31,True,False
1789719030.876082,client_mr,READ_PRIMARY,primary,100,100,99,majority,majority,True,normal_codexrun,0.26,True,False
1789719030.876287,client_mr,READ_SECONDARY,session_secondary,100,100,100,majority,majority,True,normal_codexrun,0.2,True,False
1789719030.892253,client_mr,READ_PRIMARY,primary,101,101,100,majority,majority,True,normal_codexrun,0.83,True,False
1789719030.893134,client_mr,READ_SECONDARY,session_secondary,101,101,101,majority,majority,True,normal_codexrun,0.87,True,False
1789719030.9034722,client_mr,READ_PRIMARY,primary,102,102,101,majority,majority,True,normal_codexrun,0.46,True,False
1789719030.903981,client_mr,READ_SECONDARY,session_secondary,102,102,102,majority,majority,True,normal_codexrun,0.5,True,False
1789719030.916235,client_mr,READ_PRIMARY,primary,103,103,102,majority,majority,True,normal_codexrun,0.35,True,False
1789719030.916594,client_mr,READ_SECONDARY,session_secondary,103,103,103,majority,majority,True,normal_codexrun,0.35,True,False
1789719030.929505,client_mr,READ_PRIMARY,primary,104,104,103,majority,majority,True,normal_codexrun,0.51,True,False
1789719030.930022,client_mr,READ_SECONDARY,session_secondary,104,104,104,majority,majority,True,normal_codexrun,0.51,True,False
1789719030.943507,client_mr,READ_PRIMARY,primary,105,105,104,majority,majority,True,normal_codexrun,0.45,True,False
1789719030.9439528,client_mr,READ_SECONDARY,session_secondary,105,105,105,majority,majority,True,normal_codexrun,0.44,True,False
