model,scenario,profile,phase,repeats,attempts_total,eligible_total,violations_total,errors_total,not_observed_total,successful_mr_reads_total,mr_read_regressions_total,violation_rate_mean,violation_rate_sd,violation_rate_n,coverage_mean,coverage_sd,coverage_n,eligible_workload_p50_ms_mean,eligible_workload_p50_ms_sd,eligible_workload_p50_ms_n,eligible_workload_p95_ms_mean,eligible_workload_p95_ms_sd,eligible_workload_p95_ms_n
mw,failure,majority,transition,1,1,1,0,0,0,0,0,0.0,,1,1.0,,1,291.312,,1,291.312,,1
mw,failure,weak,fault,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,99.431,,1,114.322,,1
mw,failure,weak,normal,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,27.226,,1,53.22,,1
mw,failure,weak,overall,1,30,30,0,0,0,0,0,0.0,,1,1.0,,1,99.18,,1,114.322,,1
mw,failure,weak,recovery,1,11,11,0,0,0,0,0,0.0,,1,1.0,,1,103.83,,1,112.684,,1
mw,failure,weak,transition,1,1,1,0,0,0,0,0,0.0,,1,1.0,,1,331.597,,1,331.597,,1
mw,normal,causal,normal,1,30,30,0,0,0,0,0,0.0,,1,1.0,,1,17.008,,1,21.301,,1
mw,normal,causal,overall,1,30,30,0,0,0,0,0,0.0,,1,1.0,,1,17.008,,1,21.301,,1
mw,normal,majority,normal,1,30,30,0,0,0,0,0,0.0,,1,1.0,,1,17.973,,1,20.862,,1
mw,normal,majority,overall,1,30,30,0,0,0,0,0,0.0,,1,1.0,,1,17.973,,1,20.862,,1
mw,normal,weak,normal,1,30,30,0,0,0,0,0,0.0,,1,1.0,,1,25.53,,1,28.76,,1
mw,normal,weak,overall,1,30,30,0,0,0,0,0,0.0,,1,1.0,,1,25.53,,1,28.76,,1
mw,partition,causal,fault,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,4000.794,,1,4004.58,,1
mw,partition,causal,normal,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,19.662,,1,49.643,,1
mw,partition,causal,overall,1,30,29,0,1,0,0,0,0.0,,1,0.9666666666666667,,1,19.021,,1,4003.847,,1
mw,partition,causal,recovery,1,11,11,0,0,0,0,0,0.0,,1,1.0,,1,15.588,,1,19.684,,1
mw,partition,causal,transition,1,1,0,0,1,0,0,0,,,0,0.0,,1,,,0,,,0
mw,partition,majority,fault,1,9,8,0,1,0,0,0,0.0,,1,0.8888888888888888,,1,2002.192,,1,3993.505,,1
mw,partition,majority,normal,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,17.736,,1,84.398,,1
mw,partition,majority,overall,1,30,28,0,2,0,0,0,0.0,,1,0.9333333333333333,,1,18.241,,1,3992.377,,1
